model,asset,evaluated_count,llm_count,seed_count,avg_weight_when_present,max_weight_when_present,avg_candidate_score,best_candidate_score,avg_candidate_sigma_q09
mistralai/mistral-small-2603,BSPB,2,0,2,0.08881958735359091,0.17750276662057662,-0.0883861413360908,-0.0393907620424053,0.29935574708733603
mistralai/mistral-small-2603,SU26244RMFS2,1,0,1,0.5425196845494054,0.5425196845494054,-0.2377641983598811,-0.2377641983598811,0.2706897177455376
mistralai/mistral-small-2603,TRNFP,1,0,1,0.4318888972128887,0.4318888972128887,-0.1373815206297763,-0.1373815206297763,0.3157482550881276
mistralai/mistral-small-2603,UPRO,1,0,1,0.3751363258515377,0.3751363258515377,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
mistralai/mistral-small-2603,SNGSP,1,0,1,0.3488709511762696,0.3488709511762696,-1.415752671258611,-1.415752671258611,0.4070653368411402
mistralai/mistral-small-2603,SBRB,1,0,1,0.2697336534523949,0.2697336534523949,-0.0855167221189109,-0.0855167221189109,0.117624187472852
mistralai/mistral-small-2603,TGKN,1,0,1,0.15417417836363104,0.15417417836363104,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
mistralai/mistral-small-2603,JPYRUB_TOM,1,0,1,0.15022504206932946,0.15022504206932946,-0.0855167221189109,-0.0855167221189109,0.117624187472852
mistralai/mistral-small-2603,DELI,1,0,1,0.12891826169701262,0.12891826169701262,-0.0467250442375802,-0.0467250442375802,0.1514273974595068
mistralai/mistral-small-2603,TBRU,1,0,1,0.112993221801597,0.112993221801597,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
mistralai/mistral-small-2603,SOFL,1,0,1,0.0990157537710277,0.0990157537710277,-0.0818618405054883,-0.0818618405054883,0.3466420955531325
mistralai/mistral-small-2603,LSRG,1,0,1,0.051134368657142375,0.051134368657142375,-1.0246331156842363,-1.0246331156842363,0.4017021019447021
mistralai/mistral-small-2603,RTKM,1,0,1,0.04753791006573132,0.04753791006573132,-0.1373815206297763,-0.1373815206297763,0.3157482550881276
mistralai/mistral-small-2603,TITR,1,0,1,0.04131448590892062,0.04131448590892062,-0.0818618405054883,-0.0818618405054883,0.3466420955531325
mistralai/mistral-small-2603,SBHI,1,0,1,0.03912813344390239,0.03912813344390239,-0.0542881773813929,-0.0542881773813929,0.2256007068037887
mistralai/mistral-small-2603,LQDT,1,0,1,0.030108682438310892,0.030108682438310892,-0.0467250442375802,-0.0467250442375802,0.1514273974595068
mistralai/mistral-small-2603,SU26243RMFS4,1,0,1,0.02218703964043806,0.02218703964043806,-0.1373815206297763,-0.1373815206297763,0.3157482550881276
mistralai/mistral-small-2603,RUAL,1,0,1,0.02033574317180247,0.02033574317180247,-1.415752671258611,-1.415752671258611,0.4070653368411402
mistralai/mistral-small-2603,SBGB,1,0,1,0.009885476091017132,0.009885476091017132,-0.0855167221189109,-0.0855167221189109,0.117624187472852
mistralai/mistral-small-2603,FXMM,1,0,1,0.009745196212164544,0.009745196212164544,-0.0542881773813929,-0.0542881773813929,0.2256007068037887
openai/gpt-oss-120b,MOEX,135,132,3,0.2192527752942264,0.4,0.016805930127732134,0.0900770911925276,0.19371401303867003
openai/gpt-oss-120b,FXIT,120,118,2,0.15637923892122485,0.35638530361661197,0.019006769828940593,0.0652862868025249,0.1851437701274032
openai/gpt-oss-120b,EUR_RUB__TOM,117,115,2,0.12503716568709997,0.3,0.00814791425314978,0.0900770911925276,0.17927243932763928
openai/gpt-oss-120b,CHFRUB_TOM,116,115,1,0.1283561077890009,0.25,0.020286723378277936,0.0900770911925276,0.1781846353193288
openai/gpt-oss-120b,SBER,116,114,2,0.20735618332886538,0.35,0.01627759342726191,0.0900770911925276,0.19852939061306243
openai/gpt-oss-120b,USD000UTSTOM,61,59,2,0.1302714569364678,0.3,0.02212898968769425,0.0900770911925276,0.16395189056315174
openai/gpt-oss-120b,GAZP,50,50,0,0.13468011695906434,0.25,0.014058381115465502,0.0557810507379654,0.24158968194518185
openai/gpt-oss-120b,IRAO,46,44,2,0.10422611557189493,0.38237347919088893,0.011314578796851018,0.0589849814208356,0.18270481512106676
openai/gpt-oss-120b,LKOH,27,27,0,0.11778752436647173,0.2,0.008575809073764686,0.0477435588211221,0.2525239330567913
openai/gpt-oss-120b,SPBE,27,27,0,0.11667935270274452,0.16666666666666669,0.04684581570905086,0.0900770911925276,0.1946678661387146
openai/gpt-oss-120b,FXMM,22,21,1,0.10051872103994688,0.16666666666666669,0.0015503485392400083,0.0210055124643315,0.11912979248826963
openai/gpt-oss-120b,FXCN,8,8,0,0.09708333333333334,0.16666666666666669,0.008648944651347523,0.0225725626401889,0.11433824017991231
openai/gpt-oss-120b,NVTK,6,5,1,0.16453199872214203,0.3221919923328522,-0.1884268832739687,0.0060558182911514,0.3037738562152467
openai/gpt-oss-120b,TATNP,5,5,0,0.1377936507936508,0.16,0.041899417702363315,0.0623160516930164,0.19120127597884057
openai/gpt-oss-120b,MGNT,4,3,1,0.10931524772528449,0.2,-0.02779862878922005,-0.0084953113145306,0.2528133670621594
openai/gpt-oss-120b,FXUS,4,3,1,0.07016338221832824,0.1,-0.0449120390260005,0.0210055124643315,0.18474366302721573
